brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,wiek,engine_hp,engine_cylinders,engine_fuel,engine_liters_log
Ford,Mustang GT Premium,2012,105500.0,Gasoline,6-Speed M/T,Silver,Black,None reported,Yes,19000.0,13,412.0,8.0,Gasoline,1.6094379126341003
BMW,435 i,2014,80211.0,Gasoline,A/T,Gray,Red,At least 1 accident or damage reported,Yes,17995.0,11,300.0,6.0,Gasoline,1.0986122890014431
Aston,Martin V8 Vantage Base,2010,25991.0,Gasoline,6-Speed A/T,Silver,Black,None reported,Yes,69995.0,15,420.0,8.0,Gasoline,1.547562508928779
Mercedes-Benz,CLK-Class CLK 350,2008,73000.0,Gasoline,7-Speed A/T,Black,Black,None reported,Yes,8400.0,17,268.0,6.0,Gasoline,1.2527629687810824
BMW,740 i,2018,40989.0,Gasoline,8-Speed A/T,Black,Gold,None reported,Yes,35000.0,7,320.0,6.0,Gasoline,1.0986122890014431
Dodge,Caliber Express,2010,102681.0,Gasoline,M/T,Red,Black,None reported,Yes,6000.0,15,158.0,4.0,Gasoline,0.6931471810599453
Jeep,Wrangler X,2005,160900.0,Gasoline,4-Speed A/T,Black,–,At least 1 accident or damage reported,Yes,7200.0,20,190.0,6.0,Gasoline,1.3862943613698906
BMW,M3 Base,2011,105000.0,Gasoline,6-Speed M/T,Silver,Black,At least 1 accident or damage reported,Yes,21900.0,14,414.0,8.0,Gasoline,1.3862943613698906
Kia,Sportage Plug-In Hybrid X-Line,2023,1340.0,Plug-In Hybrid,A/T,Black,Black,None reported,Yes,41000.0,2,177.0,4.0,Electric,0.4700036298707357
Jeep,Wrangler Rubicon,2023,7000.0,Hybrid,8-Speed A/T,Gray,Black,None reported,Yes,46000.0,2,285.0,6.0,Gasoline,1.280933845739842
BMW,M4 Base,2018,19600.0,Gasoline,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,62000.0,7,425.0,6.0,Gasoline,1.0986122890014431
Cadillac,Escalade Luxury,2015,99897.0,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,26950.0,10,420.0,8.0,Gasoline,1.8245492922123363
Lexus,LC 500 Base,2021,22400.0,Gasoline,A/T,White,Red,None reported,Yes,81900.0,4,471.0,8.0,Gasoline,1.6094379126341003
Lexus,LS 460 Crafted Line,2015,89150.0,Gasoline,A/T,White,Black,None reported,Yes,31900.0,10,360.0,8.0,Gasoline,1.5260563037124406
Audi,A3 2.0T Tech Premium,2018,49500.0,Gasoline,6-Speed A/T,Blue,Gray,None reported,Yes,25000.0,7,220.0,4.0,Gasoline,0.6931471810599453
Volkswagen,Golf GTI 2.0T Autobahn 4-Door,2015,85385.0,Gasoline,6-Speed M/T,Gray,Black,None reported,Yes,15550.0,10,210.0,4.0,Gasoline,0.6931471810599453
Cadillac,Escalade Sport,2023,3000.0,Diesel,A/T,White,Brown,None reported,Yes,123999.0,2,277.0,6.0,Diesel,1.0986122890014431
Toyota,GR86 Premium,2023,1075.0,Gasoline,6-Speed M/T,White,Black,None reported,Yes,35000.0,2,228.0,4.0,Gasoline,0.8754687377705666
Hyundai,Santa Fe SEL,2021,25000.0,Gasoline,8-Speed A/T,Black,Gray,None reported,Yes,28500.0,4,191.0,4.0,Gasoline,0.9162907322741553
Nissan,Armada Platinum,2017,92000.0,Gasoline,7-Speed A/T,Black,Black,None reported,Yes,20900.0,8,390.0,8.0,Gasoline,1.722766597919675
Lexus,GX 470 Base,2008,123500.0,Gasoline,A/T,White,Gray,At least 1 accident or damage reported,Yes,14500.0,17,263.0,8.0,Gasoline,1.547562508928779
Cadillac,CTS Premium,2013,105000.0,Gasoline,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,12000.0,12,318.0,6.0,Gasoline,1.280933845739842
Audi,R8 Base,2008,49000.0,Gasoline,6-Speed M/T,Black,Black,None reported,Yes,63000.0,17,420.0,8.0,Gasoline,1.4350845255274178
Chevrolet,Silverado 1500 1LT,2018,81000.0,E85 Flex Fuel,A/T,Red,Gray,None reported,Yes,32000.0,7,285.0,6.0,Flex Fuel,1.458615022932075
Toyota,Sequoia Platinum,2011,173456.0,E85 Flex Fuel,6-Speed A/T,Black,Gray,At least 1 accident or damage reported,Yes,16000.0,14,381.0,8.0,Flex Fuel,1.7404661750159431
BMW,M440 i,2021,13700.0,Hybrid,8-Speed A/T,Black,Beige,,,60000.0,4,382.0,6.0,Gasoline,1.0986122890014431
Audi,A8 L 55,2019,93400.0,Hybrid,A/T,Silver,Brown,None reported,Yes,42500.0,6,335.0,6.0,Gasoline,1.0986122890014431
Toyota,Avalon XLE,2015,90000.0,Gasoline,6-Speed A/T,White,Beige,None reported,Yes,18200.0,10,268.0,6.0,Gasoline,1.2527629687810824
Porsche,Macan Base,2017,40600.0,Gasoline,7-Speed A/T,Gray,Black,None reported,Yes,32000.0,8,252.0,4.0,Gasoline,0.6931471810599453
Lexus,IS 350 F Sport,2023,20121.0,Gasoline,8-Speed A/T,Gray,Red,None reported,Yes,47124.0,2,311.0,6.0,Gasoline,1.2527629687810824
Lexus,RX 350 Base,2011,187450.0,Gasoline,A/T,Silver,Beige,At least 1 accident or damage reported,Yes,10400.0,14,275.0,6.0,Gasoline,1.2527629687810824
Mercedes-Benz,AMG C 43 Base 4MATIC,2017,54500.0,Gasoline,9-Speed A/T,White,Black,None reported,Yes,37995.0,8,362.0,6.0,Gasoline,1.0986122890014431
BMW,X6 xDrive50i,2017,78500.0,Gasoline,8-Speed A/T,Red,Brown,At least 1 accident or damage reported,Yes,42000.0,8,445.0,8.0,Gasoline,1.4816045411514882
Chevrolet,Tahoe LT,2018,75000.0,Gasoline,6-Speed A/T,Silver,Black,None reported,Yes,36000.0,7,355.0,8.0,Gasoline,1.6677068207467554
Ford,F-150 SVT Raptor,2014,89988.0,Gasoline,A/T,Red,Red,At least 1 accident or damage reported,Yes,42500.0,11,411.0,8.0,Gasoline,1.8245492922123363
Subaru,Outback 3.0 R VDC Limited,2005,107000.0,Gasoline,A/T,Gold,Beige,None reported,Yes,7100.0,20,250.0,6.0,Gasoline,1.0986122890014431
Alfa,Romeo Giulia Ti,2019,21400.0,Gasoline,8-Speed A/T,White,Black,None reported,Yes,28500.0,6,280.0,4.0,Gasoline,0.6931471810599453
Mazda,CX-7 Grand Touring,2007,83150.0,Gasoline,6-Speed A/T,White,Beige,None reported,Yes,6950.0,18,244.0,4.0,Gasoline,0.8329091233698865
Ford,F-150 Platinum,2018,92000.0,Diesel,10-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,36500.0,7,250.0,6.0,Diesel,1.0986122890014431
RAM,2500 Laramie,2017,67483.0,Gasoline,6-Speed A/T,Brown,Beige,At least 1 accident or damage reported,Yes,46500.0,8,410.0,8.0,Gasoline,1.856297990521876
Audi,S8 4.0T Plus,2017,54300.0,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,53500.0,8,605.0,8.0,Gasoline,1.3862943613698906
Hyundai,Sonata Hybrid Limited,2022,30565.0,Hybrid,A/T,Gray,Black,None reported,Yes,29000.0,3,192.0,4.0,Electric,0.6931471810599453
Audi,A8 L 4.0T,2016,142666.0,Gasoline,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,22000.0,9,450.0,8.0,Gasoline,1.3862943613698906
Ford,Ranger Sport SuperCab,2009,166200.0,Gasoline,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,6999.0,16,207.0,6.0,Gasoline,1.3862943613698906
INFINITI,Q50 Hybrid Premium,2015,88977.0,Hybrid,7-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,19977.0,10,354.0,6.0,Electric,1.2527629687810824
Mercedes-Benz,E-Class E 350 4MATIC,2009,171000.0,Gasoline,5-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,4750.0,16,268.0,6.0,Gasoline,1.2527629687810824
Mazda,MX-5 Miata RF Grand Touring,2017,52000.0,Gasoline,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,20500.0,8,155.0,4.0,Gasoline,0.6931471810599453
MINI,Hardtop Cooper S,2016,41680.0,Gasoline,6-Speed A/T,Silver,Black,None reported,Yes,17495.0,9,189.0,4.0,Gasoline,0.6931471810599453
Saab,9-3 SE,2002,77200.0,Gasoline,5-Speed M/T,Black,Beige,None reported,Yes,7500.0,23,205.0,4.0,Gasoline,0.6931471810599453
BMW,X5 xDrive40i,2019,50000.0,Gasoline,8-Speed A/T,Blue,Gold,None reported,Yes,43000.0,6,335.0,6.0,Gasoline,1.0986122890014431
Audi,allroad 2.7T,2005,153000.0,Gasoline,M/T,Blue,Blue,At least 1 accident or damage reported,Yes,6500.0,20,250.0,6.0,Gasoline,0.9932517733806538
Mercury,Marauder Base,2004,56600.0,Gasoline,Transmission Overdrive Switch,Silver,Black,None reported,Yes,23000.0,21,302.0,8.0,Gasoline,1.5260563037124406
Hyundai,Genesis 3.8,2015,116612.0,Gasoline,8-Speed A/T,White,White,At least 1 accident or damage reported,Yes,12700.0,10,311.0,6.0,Gasoline,1.335001066995498
Audi,SQ5 3.0T Premium Plus,2018,72000.0,Gasoline,A/T,Blue,Black,At least 1 accident or damage reported,Yes,30000.0,7,354.0,6.0,Gasoline,1.0986122890014431
Audi,A8 L 55,2019,39000.0,Hybrid,8-Speed A/T,Black,Brown,None reported,Yes,50000.0,6,335.0,6.0,Gasoline,1.0986122890014431
Lincoln,Navigator Base,2008,149000.0,Gasoline,A/T,Gold,Beige,None reported,Yes,10099.0,17,300.0,8.0,Gasoline,1.686398953755414
BMW,M4 Base,2018,19300.0,Gasoline,6-Speed M/T,White,Silver,None reported,Yes,64000.0,7,425.0,6.0,Gasoline,1.0986122890014431
Ford,F-150 Lariat,2017,74349.0,Gasoline,10-Speed A/T,White,–,None reported,Yes,36000.0,8,375.0,6.0,Gasoline,1.2527629687810824
Ford,F-250 Lariat,2019,85000.0,Diesel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,55000.0,6,450.0,8.0,Diesel,1.9021075265461744
Ferrari,Roma Base,2022,2250.0,Gasoline,8-Speed A/T,Gray,Blue,None reported,Yes,259500.0,3,611.0,8.0,Gasoline,1.360976553392011
Mercedes-Benz,GLS 450 Base 4MATIC,2017,46100.0,Gasoline,9-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,33000.0,8,362.0,6.0,Gasoline,1.0986122890014431
Hyundai,Santa Fe SEL Plus 2.4,2019,49500.0,Gasoline,8-Speed A/T,Silver,Gray,None reported,Yes,28000.0,6,185.0,4.0,Gasoline,0.8754687377705666
Mercedes-Benz,E-Class E 350,2012,31130.0,Gasoline,7-Speed A/T,Black,Black,None reported,Yes,23500.0,13,302.0,6.0,Gasoline,1.2527629687810824
Ford,F-250 XLT SuperCab Super Duty,2008,149460.0,Diesel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,12240.0,17,350.0,8.0,Diesel,1.856297990521876
Mercury,Marauder Base,2003,90000.0,Gasoline,4-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,15500.0,22,302.0,8.0,Gasoline,1.5260563037124406
Ford,Transit-350 XLT,2021,48000.0,E85 Flex Fuel,A/T,White,Gray,None reported,Yes,57000.0,4,275.0,6.0,Flex Fuel,1.2527629687810824
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,98000.0,Gasoline,A/T,White,Beige,At least 1 accident or damage reported,Yes,15500.0,12,248.0,6.0,Gasoline,1.2527629687810824
Chevrolet,Suburban 2500 LS,2006,60000.0,Gasoline,A/T,Brown,Brown,At least 1 accident or damage reported,Yes,24950.0,19,325.0,8.0,Gasoline,2.09186406180185
Chevrolet,Suburban 1500 LT,2014,169500.0,E85 Flex Fuel,A/T,Purple,Brown,None reported,Yes,15000.0,11,320.0,8.0,Flex Fuel,1.6677068207467554
Mitsubishi,Eclipse GS,2008,189500.0,Gasoline,5-Speed M/T,Red,Black,None reported,Yes,6000.0,17,162.0,4.0,Gasoline,0.8754687377705666
Toyota,Land Cruiser Base,2016,91000.0,Gasoline,A/T,Black,Brown,None reported,Yes,68500.0,9,381.0,8.0,Gasoline,1.7404661750159431
Toyota,Tundra SR5 Access Cab,2004,229450.0,Gasoline,A/T,Gray,Gray,None reported,Yes,8250.0,21,240.0,8.0,Gasoline,1.547562508928779
BMW,M440 i xDrive,2021,24300.0,Hybrid,8-Speed A/T,Gray,Beige,None reported,Yes,49999.0,4,382.0,6.0,Gasoline,1.0986122890014431
Cadillac,Escalade Premium,2010,104000.0,E85 Flex Fuel,A/T,Gray,–,None reported,Yes,19500.0,15,403.0,8.0,Flex Fuel,1.8245492922123363
Toyota,Highlander Base,2001,231581.0,Gasoline,A/T,Beige,Beige,None reported,Yes,4300.0,24,220.0,6.0,Gasoline,1.0986122890014431
Ford,F-150 Lariat,2019,81000.0,Gasoline,10-Speed A/T,Gray,Black,None reported,Yes,38500.0,6,375.0,6.0,Gasoline,1.2527629687810824
Mazda,Mazda6 Touring,2020,78700.0,Gasoline,A/T,White,Black,None reported,Yes,18000.0,5,187.0,4.0,Gasoline,0.9162907322741553
Kia,Optima EX,2015,109580.0,Gasoline,6-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,11900.0,10,192.0,4.0,Gasoline,0.8754687377705666
Lexus,RX 350 Base,2009,178000.0,Gasoline,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,4500.0,16,270.0,6.0,Gasoline,1.2527629687810824
Mercedes-Benz,GLS 450 Base 4MATIC,2017,106000.0,Gasoline,9-Speed A/T,White,Black,None reported,Yes,25900.0,8,362.0,6.0,Gasoline,1.0986122890014431
Mercedes-Benz,CLA-Class CLA 250,2016,88600.0,Gasoline,A/T,Black,Black,At least 1 accident or damage reported,Yes,16800.0,9,208.0,4.0,Gasoline,0.6931471810599453
INFINITI,FX50 Base,2011,84900.0,Gasoline,7-Speed A/T,Silver,Black,,,22450.0,14,390.0,8.0,Gasoline,1.6094379126341003
BMW,X5 eDrive xDrive40e,2018,45090.0,Plug-In Hybrid,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,30750.0,7,313.0,4.0,Electric,0.6931471810599453
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,33272.0,Gasoline,A/T,Red,Gray,At least 1 accident or damage reported,Yes,11900.0,22,192.0,4.0,Gasoline,0.8329091233698865
Jeep,Wrangler SE,2003,71000.0,Gasoline,5-Speed M/T,Red,Gray,None reported,Yes,12499.0,22,150.0,4.0,Gasoline,0.8754687377705666
Kia,Telluride SX,2020,55400.0,Gasoline,8-Speed A/T,Green,White,,,36500.0,5,291.0,6.0,Gasoline,1.335001066995498
Land,Rover LR4 Lux,2012,141525.0,Gasoline,A/T,Black,Black,None reported,Yes,14490.0,13,375.0,8.0,Gasoline,1.6094379126341003
BMW,M4 Base,2020,29140.0,Gasoline,M/T,Orange,Orange,None reported,Yes,71995.0,5,425.0,6.0,Gasoline,1.0986122890014431
BMW,M340 i xDrive,2022,9000.0,Hybrid,8-Speed A/T,White,Red,None reported,Yes,56900.0,3,382.0,6.0,Gasoline,1.0986122890014431
BMW,ALPINA B7 Base,2013,36750.0,Gasoline,A/T,Black,Black,None reported,Yes,35999.0,12,445.0,8.0,Gasoline,1.4816045411514882
Mercedes-Benz,C-Class C280 4MATIC,2007,49626.0,Gasoline,A/T,White,–,None reported,Yes,12000.0,18,228.0,6.0,Gasoline,1.0986122890014431
Jeep,Compass High Altitude,2017,45000.0,Gasoline,A/T,White,Beige,At least 1 accident or damage reported,Yes,16500.0,8,172.0,4.0,Gasoline,0.8754687377705666
Toyota,Highlander Hybrid XLE,2019,69350.0,Hybrid,A/T,Black,Gray,None reported,Yes,36000.0,6,306.0,6.0,Electric,1.2527629687810824
BMW,M3 Base,1999,184700.0,Gasoline,5-Speed M/T,Blue,Gray,None reported,Yes,36950.0,26,240.0,6.0,Gasoline,1.1631508101181809
Maserati,Quattroporte S Q4 GranLusso,2018,57500.0,Gasoline,8-Speed A/T,White,Brown,None reported,Yes,41900.0,7,424.0,6.0,Gasoline,1.0986122890014431
Acura,RDX Advance Package,2021,29000.0,Gasoline,10-Speed A/T,Black,Black,None reported,Yes,39650.0,4,272.0,4.0,Gasoline,0.6931471810599453
Mercedes-Benz,Sprinter 3500XD High Roof,2021,33300.0,Diesel,7-Speed A/T,White,Black,None reported,Yes,45000.0,4,188.0,6.0,Diesel,1.0986122890014431
Cadillac,XTS Luxury,2014,62950.0,Gasoline,6-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,17498.0,11,304.0,6.0,Gasoline,1.280933845739842
Porsche,Cayenne S,2013,92000.0,Gasoline,8-Speed A/T,Green,Gray,None reported,Yes,23000.0,12,400.0,8.0,Gasoline,1.5686159181221786
Dodge,Magnum R/T,2005,96000.0,Gasoline,5-Speed A/T,Gray,Gold,At least 1 accident or damage reported,Yes,12000.0,20,340.0,8.0,Gasoline,1.7404661750159431
INFINITI,Q70 3.7X,2014,33500.0,Gasoline,7-Speed A/T,Black,Black,None reported,Yes,23000.0,11,330.0,6.0,Gasoline,1.3083328199204491
Land,Rover Range Rover SV Autobiography Dynamic SWB,2020,16754.0,Gasoline,8-Speed A/T,White,White,None reported,Yes,112000.0,5,557.0,8.0,Gasoline,1.6094379126341003
Toyota,Camry Hybrid Base,2007,53249.0,Hybrid,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,9250.0,18,147.0,4.0,Electric,0.8754687377705666
GMC,Acadia SLT-1,2016,119000.0,Gasoline,A/T,Gold,Brown,None reported,Yes,12500.0,9,281.0,6.0,Gasoline,1.280933845739842
RAM,2500 SLT,2017,86000.0,Diesel,6-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,41000.0,8,350.0,6.0,Diesel,1.9021075265461744
RAM,3500 Laramie,2014,177000.0,Diesel,6-Speed A/T,Black,–,At least 1 accident or damage reported,Yes,40500.0,11,385.0,6.0,Diesel,1.9021075265461744
Mercedes-Benz,GL-Class GL 450 4MATIC,2013,93500.0,Gasoline,A/T,Black,Black,At least 1 accident or damage reported,Yes,15900.0,12,362.0,8.0,Gasoline,1.5260563037124406
BMW,M5 Base,2018,47700.0,Gasoline,8-Speed A/T,Red,White,At least 1 accident or damage reported,Yes,54999.0,7,600.0,8.0,Gasoline,1.4816045411514882
Ford,Mustang SVT Cobra,2003,97496.0,Gasoline,6-Speed M/T,Gray,Gray,,,24500.0,22,390.0,8.0,Gasoline,1.5260563037124406
Buick,Rainier CXL,2005,147589.0,Gasoline,A/T,White,Beige,At least 1 accident or damage reported,Yes,2800.0,20,275.0,6.0,Gasoline,1.4350845255274178
Cadillac,Escalade Luxury,2013,95570.0,E85 Flex Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,22000.0,12,403.0,8.0,Flex Fuel,1.8245492922123363
Mercedes-Benz,S-Class S 560,2018,45791.0,Gasoline,9-Speed A/T,Gray,Gray,None reported,Yes,52000.0,7,463.0,8.0,Gasoline,1.3862943613698906
INFINITI,QX80 Base,2016,60000.0,Gasoline,7-Speed A/T,Silver,Beige,At least 1 accident or damage reported,Yes,25950.0,9,400.0,8.0,Gasoline,1.722766597919675
Buick,Encore Preferred,2019,50000.0,Gasoline,6-Speed A/T,White,Black,None reported,Yes,18795.0,6,138.0,4.0,Gasoline,0.3364722373354986
Jeep,Liberty Limited,2010,107000.0,Gasoline,A/T,Gray,Gray,None reported,Yes,5900.0,15,210.0,6.0,Gasoline,1.3083328199204491
Audi,A8 L 3.0T,2016,55000.0,Gasoline,A/T,White,Brown,None reported,Yes,28000.0,9,333.0,6.0,Gasoline,1.0986122890014431
Mazda,CX-30 2.5 S Select Package,2022,4004.0,Gasoline,6-Speed A/T,Black,Black,None reported,Yes,25500.0,3,186.0,4.0,Gasoline,0.9162907322741553
Volkswagen,Golf R 4-Door,2016,47144.0,Gasoline,6-Speed M/T,Blue,Black,None reported,Yes,29950.0,9,292.0,4.0,Gasoline,0.6931471810599453
Hyundai,Genesis Coupe 3.8 Grand Touring,2011,165454.0,Gasoline,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,4000.0,14,306.0,6.0,Gasoline,1.335001066995498
Ford,F-150 XLT,2018,98000.0,Gasoline,10-Speed A/T,White,–,At least 1 accident or damage reported,Yes,25500.0,7,375.0,6.0,Gasoline,1.2527629687810824
Ford,Mustang V6,2013,147191.0,Gasoline,6-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,12990.0,12,305.0,6.0,Gasoline,1.3083328199204491
BMW,435 i,2014,53600.0,Gasoline,8-Speed A/T,Silver,Black,None reported,Yes,25980.0,11,300.0,6.0,Gasoline,1.0986122890014431
Mercedes-Benz,AMG G 63 Base,2020,1750.0,Gasoline,9-Speed A/T,Blue,Black,None reported,Yes,199995.0,5,577.0,8.0,Gasoline,1.3862943613698906
Dodge,Challenger SRT Hellcat,2020,2750.0,Gasoline,8-Speed A/T,Orange,Black,None reported,Yes,104500.0,5,797.0,8.0,Gasoline,1.8245492922123363
Porsche,Boxster Base,2013,40800.0,Gasoline,7-Speed A/T,Brown,Beige,None reported,Yes,35500.0,12,265.0,6.0,Gasoline,0.9932517733806538
Ford,Mustang GT,2010,87500.0,Gasoline,A/T,Red,Black,At least 1 accident or damage reported,Yes,14900.0,15,315.0,8.0,Gasoline,1.5260563037124406
Chevrolet,Suburban LT,2020,93000.0,Gasoline,A/T,Black,Black,None reported,Yes,38500.0,5,355.0,8.0,Gasoline,1.6677068207467554
BMW,M5 Base,2018,31090.0,Gasoline,8-Speed A/T,Green,Black,At least 1 accident or damage reported,Yes,68000.0,7,600.0,8.0,Gasoline,1.4816045411514882
Audi,A7 3.0T Prestige,2015,73000.0,Diesel,8-Speed A/T,White,Gray,None reported,Yes,34000.0,10,240.0,6.0,Diesel,1.0986122890014431
Genesis,G80 3.8,2020,23600.0,Gasoline,A/T,Blue,Gray,None reported,Yes,31900.0,5,311.0,6.0,Gasoline,1.335001066995498
Ford,Mustang V6,2013,57912.0,Gasoline,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,18750.0,12,305.0,6.0,Gasoline,1.3083328199204491
BMW,650 i,2009,35000.0,Gasoline,A/T,Black,Black,None reported,Yes,18500.0,16,360.0,8.0,Gasoline,1.5686159181221786
Lincoln,Navigator Reserve,2022,13750.0,Gasoline,10-Speed A/T,White,Beige,None reported,Yes,79999.0,3,440.0,6.0,Gasoline,1.2527629687810824
Mercedes-Benz,S-Class S 550 4MATIC,2015,13300.0,Gasoline,A/T,Black,Black,None reported,Yes,62500.0,10,449.0,8.0,Gasoline,1.547562508928779
Chevrolet,Suburban LT,2017,117000.0,Gasoline,6-Speed A/T,Blue,Beige,None reported,Yes,27000.0,8,310.0,8.0,Gasoline,1.7917594693947216
Audi,A7 55 Premium,2020,27100.0,Hybrid,A/T,White,Black,None reported,Yes,50000.0,5,335.0,6.0,Gasoline,1.0986122890014431
Ford,Mustang EcoBoost Premium,2017,89352.0,Gasoline,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,20989.0,8,310.0,4.0,Gasoline,0.8329091233698865
Chevrolet,Cruze LS,2018,100000.0,Gasoline,A/T,White,Black,At least 1 accident or damage reported,Yes,8500.0,7,153.0,4.0,Gasoline,0.3364722373354986
Land,Rover Range Rover HSE SWB,2020,16000.0,Hybrid,A/T,Silver,Black,None reported,Yes,75500.0,5,395.0,6.0,Gasoline,1.0986122890014431
Land,Rover Defender S,2023,15200.0,Gasoline,A/T,White,Black,None reported,Yes,62999.0,2,296.0,4.0,Gasoline,0.6931471810599453
BMW,650 i,2012,39960.0,Gasoline,6-Speed M/T,White,Brown,None reported,Yes,38995.0,13,400.0,8.0,Gasoline,1.4816045411514882
Ford,Mustang Base,2008,119000.0,Gasoline,A/T,White,Black,At least 1 accident or damage reported,Yes,13500.0,17,210.0,6.0,Gasoline,1.3862943613698906
Mazda,Mazda3 i Touring,2014,118500.0,Gasoline,M/T,Silver,Black,At least 1 accident or damage reported,Yes,11500.0,11,155.0,4.0,Gasoline,0.6931471810599453
Kia,Stinger GT1,2021,8288.0,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,45899.0,4,365.0,6.0,Gasoline,1.1939224687754648
Chevrolet,Camaro ZL1,2023,2950.0,Gasoline,10-Speed A/T,Red,Gray,None reported,Yes,74500.0,2,650.0,8.0,Gasoline,1.8245492922123363
Mercedes-Benz,AMG G 63 Base,2017,73000.0,Gasoline,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,78000.0,8,563.0,8.0,Gasoline,1.7047480924202434
GMC,Sierra 1500 SLT,2017,49105.0,Gasoline,8-Speed A/T,White,Black,None reported,Yes,39750.0,8,420.0,8.0,Gasoline,1.8245492922123363
Kia,Telluride LX,2023,5500.0,Gasoline,8-Speed A/T,Silver,Black,None reported,Yes,40000.0,2,291.0,6.0,Gasoline,1.335001066995498
Chevrolet,Corvette Base,2005,36700.0,Gasoline,6-Speed M/T,Blue,Black,None reported,Yes,26000.0,20,400.0,8.0,Gasoline,1.7917594693947216
Nissan,Rogue SL,2017,78110.0,Gasoline,A/T,Silver,Black,,,17500.0,8,170.0,4.0,Gasoline,0.9162907322741553
GMC,Acadia Denali,2015,74864.0,Gasoline,A/T,Gray,Beige,None reported,Yes,19780.0,10,288.0,6.0,Gasoline,1.280933845739842
Cadillac,Escalade Premium Luxury Platinum,2021,15350.0,Gasoline,10-Speed A/T,Black,Black,None reported,Yes,93500.0,4,420.0,8.0,Gasoline,1.8245492922123363
Nissan,GT-R Premium,2010,46100.0,Gasoline,6-Speed A/T,Blue,Black,None reported,Yes,72999.0,15,485.0,6.0,Gasoline,1.335001066995498
Toyota,Highlander XLE,2018,61454.0,Gasoline,A/T,Silver,Gray,None reported,Yes,31000.0,7,295.0,6.0,Gasoline,1.2527629687810824
BMW,X7 xDrive40i,2020,45241.0,Gasoline,A/T,Blue,Brown,None reported,Yes,54500.0,5,335.0,6.0,Gasoline,1.0986122890014431
INFINITI,QX60 Base,2018,48000.0,Gasoline,CVT Transmission,Black,Black,None reported,Yes,27000.0,7,295.0,6.0,Gasoline,1.2527629687810824
Lexus,IS 250C Base,2010,68500.0,Gasoline,6-Speed M/T,Black,Beige,None reported,Yes,18500.0,15,204.0,6.0,Gasoline,0.9162907322741553
Dodge,Challenger R/T,2014,92861.0,Gasoline,5-Speed A/T,Gray,Red,None reported,Yes,19750.0,11,375.0,8.0,Gasoline,1.7404661750159431
Hyundai,Equus Signature,2016,72000.0,Gasoline,8-Speed A/T,White,Beige,None reported,Yes,21400.0,9,429.0,8.0,Gasoline,1.6094379126341003
Ford,Mustang GT,2003,83000.0,Gasoline,A/T,Gray,Black,None reported,Yes,10500.0,22,260.0,8.0,Gasoline,1.5260563037124406
Toyota,Sequoia Limited,2023,8200.0,Hybrid,10-Speed A/T,Brown,Black,None reported,Yes,78900.0,2,437.0,6.0,Electric,1.2237754319162333
Maserati,GranTurismo Sport,2015,32000.0,Gasoline,A/T,Beige,Brown,None reported,Yes,36000.0,10,454.0,8.0,Gasoline,1.547562508928779
BMW,M5 Base,2013,61145.0,Gasoline,7-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,37500.0,12,560.0,8.0,Gasoline,1.4816045411514882
Ford,F-150 Lariat,2011,152000.0,Gasoline,6-Speed A/T,Brown,Beige,None reported,Yes,14000.0,14,365.0,6.0,Gasoline,1.2527629687810824
Audi,A4 2.0T Premium,2012,129567.0,Gasoline,A/T,White,Black,None reported,Yes,7000.0,13,211.0,4.0,Gasoline,0.6931471810599453
BMW,540 i xDrive,2019,36000.0,Gasoline,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,41995.0,6,335.0,6.0,Gasoline,1.0986122890014431
